Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Old,Female,Own,Single,Far,47500,0,High,6,75.5
Middle,Male,Rent,Single,Close,63600,0,High,6,131.8
Young,Female,Rent,Single,Close,13500,0,Low,18,29.6
Middle,Male,Own,Married,Close,85600,1,High,18,243.6
Middle,Female,Own,Single,Close,68400,0,High,12,130.4
Young,Male,Own,Married,Close,30400,0,Low,6,49.5
Middle,Female,Rent,Single,Close,48100,0,Medium,12,78.2
Middle,Male,Own,Single,Close,68400,0,High,18,115.5
Middle,Female,Own,Married,Close,51900,3,Low,6,15.8
Old,Male,Own,Married,Far,80700,0,None,18,303.4
Young,Male,Rent,Married,Close,43700,1,None,12,92.7
Middle,Male,Own,Married,Far,111800,3,High,18,206.5
Middle,Female,Own,Married,Close,44100,1,Medium,24,70.4
Middle,Male,Own,Married,Close,111400,0,High,12,213.6
Old,Female,Own,Married,Far,110000,0,High,24,556.4
Middle,Female,Own,Married,Far,83100,1,None,12,276.6
Old,Female,Own,Married,Close,82800,0,High,24,301
Middle,Male,Own,Married,Close,90100,0,High,18,195.6
Middle,Male,Rent,Single,Close,38600,1,Low,18,54.2
Old,Female,Rent,Single,Far,14000,0,Low,12,41
Young,Female,Rent,Single,Far,14300,2,Low,6,19.4
Young,Male,Rent,Married,Close,49800,0,Medium,12,82.7
Old,Female,Rent,Married,Far,60200,0,High,18,232.8
Young,Male,Rent,Married,Far,43500,1,Medium,12,80.8
Young,Female,Rent,Married,Close,41700,1,None,6,52.1
Middle,Female,Own,Married,Close,92300,3,Low,18,65.5
Middle,Male,Own,Single,Close,62800,3,None,6,70.7
Middle,Female,Rent,Married,Far,72900,0,High,18,207.5
Middle,Female,Rent,Married,Close,66900,2,Medium,12,76.9
Young,Male,Rent,Single,Close,21700,1,None,18,77.4
Old,Female,Rent,Married,Close,39700,0,Medium,12,57.3
Middle,Male,Rent,Married,Far,72200,1,High,12,208.2
Middle,Female,Rent,Married,Close,87700,3,None,24,244.6
Middle,Male,Own,Married,Close,104100,0,High,24,263.6
Middle,Male,Rent,Single,Far,67700,0,High,12,222.6
Middle,Female,Own,Single,Close,27000,2,Low,6,18.3
Middle,Female,Own,Single,Far,64100,2,High,24,159.5
Middle,Male,Rent,Single,Close,47000,1,Medium,12,58.4
Old,Female,Own,Married,Close,41600,0,None,18,98.2
Old,Female,Rent,Single,Close,20100,0,Low,24,57.6
Middle,Male,Own,Single,Close,64000,3,Low,12,41
Middle,Female,Own,Married,Far,96800,3,None,24,308.2
Middle,Male,Rent,Married,Close,76200,1,None,24,243.7
Old,Female,Rent,Married,Far,81500,0,High,18,365.5
Middle,Female,Own,Single,Close,49600,1,Medium,12,84.4
Old,Female,Own,Married,Close,111500,0,High,18,251
Middle,Male,Own,Married,Close,77700,0,None,6,98.3
Young,Male,Own,Married,Close,58900,0,None,18,121.5
Middle,Male,Own,Married,Close,126500,2,High,18,200
Middle,Female,Own,Married,Close,83300,1,High,24,257.4
Middle,Female,Own,Married,Close,90500,1,High,6,111.6
Middle,Female,Own,Married,Far,87200,0,High,18,360.4
Middle,Female,Own,Married,Close,105300,1,None,24,336
Middle,Female,Own,Single,Far,56000,3,Medium,6,53
Middle,Female,Rent,Single,Close,46600,0,Medium,24,90.6
Old,Male,Rent,Married,Close,69800,0,High,24,276.4
Middle,Male,Own,Single,Close,60300,0,High,24,126.3
Young,Male,Rent,Married,Close,67800,0,High,12,108.4
Middle,Male,Rent,Single,Close,42300,0,Medium,24,105.1
Young,Female,Own,Married,Far,33700,0,None,6,61.4
Middle,Male,Own,Single,Close,62700,2,Medium,12,70.4
Young,Female,Own,Single,Close,25900,2,None,12,44.9
Young,Female,Own,Single,Close,15600,1,Low,6,13.6
Old,Female,Own,Single,Close,14600,0,Low,24,46.8
Old,Female,Own,Married,Close,62600,0,High,6,56.5
Young,Male,Rent,Married,Close,66700,0,None,18,131
Middle,Male,Own,Married,Far,72500,0,None,24,259.5
Young,Female,Rent,Single,Far,13200,0,None,24,35.8
Middle,Female,Own,Single,Close,51300,0,Medium,24,142.4
Middle,Male,Own,Single,Far,72300,0,High,24,418.2
Young,Female,Rent,Single,Close,15600,0,None,12,46.8
Middle,Female,Own,Married,Far,90400,1,High,18,292.4
Middle,Male,Own,Single,Far,71500,0,None,6,96.4
Young,Male,Rent,Single,Close,14400,0,None,24,61.5
Young,Male,Rent,Single,Close,15000,3,Low,6,3.8
Middle,Male,Own,Single,Close,57600,1,None,6,100.6
Young,Female,Rent,Married,Close,60600,3,Low,12,30.7
Middle,Male,Own,Married,Far,84300,2,High,18,164.8
Young,Female,Own,Single,Close,24400,1,Low,6,22
Young,Female,Rent,Single,Close,22100,2,Low,18,28
Middle,Male,Rent,Married,Far,48800,2,None,12,164.7
Middle,Female,Own,Married,Close,74700,1,Medium,6,70.4
Young,Female,Rent,Single,Far,32400,1,Medium,24,92
Old,Female,Own,Single,Close,11400,0,None,6,25.8
Middle,Male,Own,Married,Close,127000,0,None,12,182.1
Middle,Male,Rent,Single,Close,47200,0,Medium,18,158.7
Middle,Female,Own,Single,Close,48700,2,Low,12,52.8
Young,Male,Rent,Single,Far,20400,0,Medium,18,86.7
Middle,Male,Rent,Single,Close,39000,0,None,6,64.3
Young,Female,Rent,Single,Close,12900,1,Low,6,10.7
Middle,Female,Rent,Married,Far,67300,1,High,18,151.3
Old,Male,Own,Married,Close,134500,0,High,24,455.8
Old,Male,Own,Married,Close,75500,0,High,6,74.1
Old,Female,Own,Married,Far,33600,2,Medium,12,80.5
Young,Female,Rent,Single,Close,16300,1,None,12,47
Young,Male,Rent,Married,Close,27400,1,Low,6,27.8
Middle,Female,Own,Married,Close,110400,3,Low,24,109.3
Young,Female,Rent,Single,Far,21100,1,Low,6,47
Middle,Male,Own,Married,Close,81200,0,High,24,185.6
Middle,Male,Rent,Married,Far,87100,2,High,18,168.8
Young,Female,Rent,Single,Far,21700,3,None,24,70.8
Middle,Female,Rent,Single,Close,42200,0,None,18,175.3
Middle,Male,Rent,Single,Far,59000,0,High,24,304.4
Middle,Female,Own,Single,Close,52700,2,Low,18,85.5
Young,Male,Own,Single,Close,20900,0,Low,24,55
Middle,Male,Own,Married,Far,90700,3,High,24,226.5
Old,Female,Own,Married,Far,91800,0,None,24,245.2
Young,Female,Own,Single,Far,27900,0,Medium,18,118.4
Old,Female,Own,Married,Close,70700,0,High,24,215
Middle,Male,Own,Married,Close,79600,2,None,6,157.5
Middle,Male,Rent,Married,Close,96400,1,High,24,182.2
Middle,Female,Own,Single,Close,46600,2,None,18,115.3
Old,Male,Own,Married,Close,106600,0,High,12,187.7
Middle,Female,Rent,Married,Close,104900,3,Low,6,45
Old,Male,Rent,Single,Close,56300,0,Medium,6,87.3
Young,Female,Rent,Single,Close,14800,1,Low,6,20.9
Old,Male,Own,Married,Close,58300,0,Medium,24,147.2
Middle,Male,Own,Single,Far,70200,0,High,12,170.2
Old,Male,Own,Married,Far,59700,0,High,18,185.7
Young,Male,Rent,Single,Close,25800,0,None,6,45.1
Young,Female,Rent,Single,Close,12000,0,Low,24,34.4
Middle,Male,Rent,Single,Far,51900,0,High,18,149.2
Middle,Female,Own,Single,Far,66800,3,None,24,209.8
Middle,Male,Own,Married,Close,105300,1,None,18,350.5
Young,Female,Rent,Single,Far,13800,3,Low,6,12.7
Young,Male,Rent,Single,Close,14800,3,None,12,43.6
Middle,Female,Own,Married,Far,44200,0,High,24,252.4
Young,Male,Rent,Single,Close,10400,0,None,18,18.9
Middle,Female,Own,Single,Close,35200,0,Medium,12,60.7
Young,Female,Rent,Single,Far,16100,0,None,6,20.2
Middle,Male,Own,Married,Close,113000,2,Medium,18,155.4
Middle,Male,Own,Married,Close,63300,2,None,6,63.3
Young,Male,Rent,Single,Close,19100,0,None,6,17.6
Middle,Female,Own,Married,Close,93400,2,None,24,307.9
Old,Female,Rent,Married,Far,52500,0,High,24,203.8
Middle,Female,Rent,Married,Far,45400,3,Medium,24,120.3
Young,Female,Own,Single,Far,21400,3,None,6,32.6
Middle,Female,Own,Single,Close,53700,3,Low,12,23.5
Young,Female,Own,Married,Far,68000,0,High,24,368.8
Young,Male,Rent,Single,Close,17400,0,None,12,33.2
Young,Female,Rent,Single,Close,14600,1,Low,6,14.3
Old,Female,Own,Married,Far,100100,0,High,12,310.4
Middle,Male,Own,Married,Far,103700,1,High,24,233.9
Young,Female,Rent,Single,Far,10800,3,Low,6,12.3
Middle,Female,Own,Married,Close,81700,3,Low,24,87.9
Old,Female,Rent,Single,Close,21400,0,Low,18,49.8
Old,Female,Own,Married,Close,114800,0,High,18,359.6
Old,Female,Own,Married,Far,67900,0,High,24,292.5
Middle,Male,Own,Married,Close,53700,1,None,12,108.1
Young,Female,Rent,Single,Far,11400,3,None,12,31.2
Young,Male,Rent,Married,Close,34300,3,None,12,129.7
Young,Female,Rent,Single,Close,16400,1,Low,12,21.8
Middle,Female,Own,Married,Far,109800,0,High,18,427.9
Middle,Male,Own,Single,Close,64200,0,High,18,164.2
Young,Male,Rent,Single,Close,17000,0,None,18,58.1
Middle,Female,Rent,Single,Close,41400,3,Low,6,22.3
Middle,Female,Own,Single,Close,49100,2,Low,6,47.4
Old,Female,Own,Single,Far,42600,0,High,24,179
Young,Female,Rent,Single,Close,11900,1,Low,6,14.3
Middle,Male,Own,Married,Far,113600,2,High,18,323.7
Middle,Male,Own,Single,Close,52900,1,None,24,231.6
Young,Female,Rent,Single,Close,14300,1,None,18,45.8
Young,Male,Rent,Single,Close,21000,0,Low,24,64.6
Middle,Male,Own,Single,Far,59600,2,Medium,18,121.7
Middle,Female,Rent,Single,Close,39700,3,Low,12,23.8
Old,Male,Own,Married,Close,51200,0,Medium,12,129.3
Middle,Female,Own,Married,Close,88200,0,None,24,274.9
Middle,Male,Own,Married,Far,122100,0,High,12,240.8
Old,Female,Rent,Married,Close,84800,0,High,18,262.4
Middle,Male,Own,Married,Far,140000,0,High,12,489.4
Old,Female,Own,Single,Close,28500,0,Low,24,62.1
Middle,Male,Rent,Single,Close,60300,0,High,6,70.1
Young,Female,Rent,Married,Far,51900,0,None,6,78
Middle,Male,Own,Single,Close,60200,0,Medium,12,136.5
Middle,Male,Own,Married,Far,81200,0,High,12,269.3
Old,Male,Own,Married,Close,73100,0,High,6,158.2
Old,Male,Own,Single,Close,45700,0,Medium,18,72.4
Old,Female,Rent,Single,Close,28900,0,Low,12,83
Young,Female,Rent,Married,Close,60100,0,None,18,159.4
Middle,Female,Own,Married,Close,84800,1,None,12,182.6
Old,Female,Own,Married,Close,35000,0,Medium,6,47.3
Young,Female,Rent,Married,Close,61700,0,None,12,116.1
Old,Female,Rent,Married,Close,46900,0,Medium,6,70.3
Middle,Female,Own,Married,Close,123600,1,None,12,189.2
Young,Male,Rent,Married,Close,45800,0,Medium,6,48.9
Middle,Male,Own,Married,Far,77800,1,High,18,181.3
Middle,Female,Own,Single,Close,48700,1,None,12,145.7
Middle,Female,Rent,Single,Far,39000,3,Low,6,29.2
Young,Female,Rent,Married,Close,40000,0,None,6,61.3
Middle,Female,Rent,Married,Close,118300,1,None,18,268.1
Young,Female,Own,Single,Close,27100,2,Low,24,43.7
Middle,Female,Rent,Married,Close,91000,2,Medium,6,70.8
Middle,Female,Own,Married,Close,35300,0,Medium,24,109.3
Young,Female,Rent,Single,Far,10200,2,Low,18,21.3
Young,Female,Rent,Single,Close,12500,1,Low,6,20.2
Old,Female,Own,Single,Close,64600,0,None,6,129.8
Middle,Male,Own,Married,Far,113800,0,None,12,327.3
Middle,Male,Own,Married,Far,113400,3,High,18,179
Young,Female,Rent,Single,Close,16900,1,Low,6,24.7
Young,Female,Rent,Single,Close,13600,1,Low,6,18.3
Middle,Male,Own,Married,Far,100100,1,High,24,349.1
Old,Female,Own,Married,Far,80000,0,High,6,198.5
Middle,Male,Own,Married,Close,83900,0,High,24,172.1
Middle,Male,Own,Married,Close,77000,0,High,12,210.4
Middle,Female,Rent,Married,Close,72900,3,Low,6,25.2
Young,Male,Rent,Married,Close,80700,3,Low,6,20.2
Young,Female,Rent,Married,Close,40900,1,Medium,18,96.2
Young,Female,Rent,Single,Close,26700,1,None,12,45.9
Middle,Male,Own,Married,Close,54700,0,Medium,18,84.8
Old,Female,Rent,Married,Close,23600,1,Low,6,16.1
Middle,Male,Rent,Single,Far,56900,0,High,24,185.7
Middle,Male,Own,Single,Far,68700,1,None,24,169.9
Young,Female,Rent,Single,Close,19300,1,Low,24,30.8
Young,Male,Rent,Married,Far,20200,1,Low,24,50
Middle,Female,Rent,Married,Far,61500,3,Medium,24,116.2
Middle,Female,Own,Married,Far,101700,1,None,24,255.1
Middle,Female,Rent,Married,Far,120800,1,High,24,583
Young,Female,Rent,Single,Far,17300,1,Low,18,38.1
Young,Female,Rent,Married,Close,42300,0,None,6,85.6
Middle,Male,Rent,Single,Close,53300,0,Medium,18,172
Middle,Female,Rent,Single,Close,42800,0,Medium,12,75.9
Middle,Male,Own,Married,Close,98400,0,High,18,330.5
Middle,Female,Own,Single,Close,51200,0,Medium,18,125.7
Old,Male,Own,Single,Close,62200,0,None,12,158.3
Middle,Male,Own,Married,Close,109200,3,Low,24,110.2
Young,Female,Rent,Single,Close,11400,2,None,6,18.6
Young,Female,Rent,Single,Close,14000,0,Low,12,22.9
Old,Female,Rent,Married,Close,97000,0,None,24,259.9
Young,Female,Own,Single,Far,29600,3,None,12,77.4
Old,Male,Own,Married,Close,71200,1,Medium,12,63.8
Old,Female,Rent,Single,Far,15000,0,Low,12,37.8
Middle,Male,Rent,Married,Far,64000,1,None,6,155.2
Old,Male,Own,Married,Far,33000,0,Medium,12,97.9
Old,Female,Own,Married,Close,74400,0,High,18,247.9
Young,Male,Rent,Single,Far,20300,2,Low,24,45
Middle,Male,Rent,Married,Close,68700,0,High,24,276.3
Young,Male,Rent,Married,Far,53600,3,Medium,24,156
Old,Female,Own,Single,Close,33200,0,Medium,24,103.7
Young,Female,Own,Married,Far,70900,0,None,6,69
Young,Female,Rent,Single,Close,23200,3,None,24,77
Young,Male,Own,Single,Close,41400,0,Medium,18,64.3
Young,Female,Rent,Married,Close,63200,0,High,24,151.2
Old,Male,Own,Married,Close,107400,0,High,12,148.5
Young,Male,Rent,Single,Far,13900,0,None,24,57
Middle,Female,Rent,Married,Close,79900,1,Medium,18,116.5
Middle,Male,Own,Married,Far,120000,3,High,18,192.6
Old,Male,Rent,Married,Far,66300,0,None,18,224.3
Middle,Female,Own,Single,Close,54400,3,Low,18,34.2
Middle,Male,Own,Married,Close,84200,0,High,24,165.4
Young,Female,Rent,Married,Close,13800,0,Low,18,36.3
Young,Female,Rent,Single,Far,14500,1,Low,6,22.2
Young,Male,Rent,Single,Close,21300,0,Low,24,67.7
Old,Male,Rent,Single,Close,29000,0,Low,6,48.2
Old,Female,Rent,Single,Close,14600,1,Low,24,38.5
Old,Male,Own,Single,Close,65300,0,High,18,144.3
Middle,Female,Own,Married,Close,100800,1,High,24,178.9
Young,Female,Rent,Single,Far,19800,1,Low,24,99.1
Middle,Male,Own,Single,Close,56700,2,Low,18,53.6
Old,Male,Rent,Married,Close,90200,0,High,18,218.3
Young,Male,Rent,Single,Close,26100,1,None,6,49.4
Young,Female,Rent,Single,Close,15900,0,Low,18,50.3
Young,Female,Rent,Single,Close,12700,3,Low,12,8.7
Middle,Male,Rent,Single,Close,43200,0,None,24,91.7
Middle,Female,Rent,Married,Close,114100,1,None,24,197.6
Middle,Male,Own,Married,Close,96100,3,Low,12,31.6
Middle,Male,Own,Married,Close,97200,0,None,12,163.4
Middle,Male,Own,Married,Far,82400,2,High,24,203.5
Old,Male,Own,Single,Far,62000,0,High,24,329.3
Young,Female,Rent,Single,Close,13400,1,Low,12,14.3
Middle,Male,Own,Married,Close,108200,3,Low,12,63.5
Young,Female,Own,Married,Close,76200,0,High,12,97.9
Middle,Male,Rent,Married,Close,81800,1,High,18,183.8
Young,Female,Rent,Single,Far,12000,0,Low,6,26.4
Middle,Male,Own,Married,Close,76100,0,None,6,71.9
Middle,Male,Own,Married,Close,82100,1,High,18,130.8
Old,Female,Own,Married,Close,103300,0,High,24,337.8
Young,Male,Rent,Single,Close,14200,1,None,24,40
Middle,Female,Own,Single,Far,47500,0,High,6,84.7
Young,Female,Rent,Single,Close,31300,1,Low,6,35.7
Young,Female,Rent,Married,Far,32700,1,None,18,127.6
Middle,Male,Own,Married,Close,72200,0,High,24,249.2
Middle,Female,Own,Married,Close,107600,2,Medium,12,151.2
Middle,Male,Own,Married,Close,109900,2,Medium,12,87
Middle,Female,Own,Married,Close,65400,2,Medium,24,93.8
Old,Female,Own,Single,Close,43300,0,None,12,158.4
Old,Female,Own,Single,Close,51900,0,Medium,12,114.8
Middle,Female,Own,Married,Far,80600,0,High,24,284
Middle,Female,Rent,Single,Close,42700,0,Medium,12,82.7
Young,Male,Rent,Single,Far,19000,0,None,12,42.8
Young,Female,Rent,Single,Close,14500,1,Low,6,18.3
Middle,Female,Own,Married,Close,68200,1,None,6,81.8
Young,Male,Rent,Married,Close,36700,0,Medium,12,73.1
Old,Male,Own,Married,Far,54600,0,High,24,216.3
Middle,Male,Own,Married,Close,65900,1,Medium,12,108.1
Young,Male,Own,Single,Far,39600,0,None,12,108.5
Young,Male,Rent,Married,Far,67300,3,None,6,121.2
Middle,Male,Own,Single,Close,59700,1,None,18,142.2
Middle,Female,Own,Married,Far,102800,2,High,18,223.8
Middle,Female,Rent,Single,Close,34700,0,None,18,161.5
Middle,Male,Own,Single,Close,50600,3,None,6,71.3
Middle,Male,Rent,Married,Close,106700,2,Medium,6,60.7
Middle,Male,Rent,Single,Close,53900,1,Medium,6,73.5
Young,Female,Rent,Married,Close,25500,2,Low,6,13.9
Young,Male,Rent,Married,Far,46300,1,Medium,18,135.7
Old,Male,Own,Married,Close,55500,0,Medium,18,85.8
Young,Female,Own,Single,Close,27800,3,None,12,40.8
Middle,Male,Own,Married,Close,118600,1,None,12,155.3
Middle,Female,Own,Married,Close,130700,3,None,6,207
Old,Male,Rent,Single,Close,42800,0,Medium,12,92.2
Middle,Female,Own,Married,Far,118300,1,High,12,250.2
Young,Female,Rent,Single,Far,25600,2,None,18,42.6
Middle,Male,Rent,Married,Close,63500,2,None,24,232.1
Old,Female,Own,Single,Close,30900,0,Medium,18,86.2
Middle,Male,Own,Single,Close,55900,1,None,24,255.5
Middle,Male,Own,Single,Far,53900,0,None,12,118.6
Old,Male,Own,Married,Close,84300,0,High,24,284.2
Old,Male,Own,Single,Close,53400,1,Medium,12,88.6
Middle,Male,Own,Married,Close,96900,1,High,12,142
Middle,Male,Rent,Single,Far,55800,1,None,6,82.1
Young,Female,Rent,Married,Close,25900,1,Low,6,24.2
Young,Female,Rent,Single,Close,22000,1,Low,12,47.2
Middle,Female,Rent,Married,Close,96700,2,Medium,12,123.1
Middle,Female,Rent,Single,Close,40200,1,None,12,88.1
Old,Male,Own,Married,Close,26800,0,Low,12,43.5
Young,Female,Rent,Single,Close,16700,2,Low,12,10.8
Young,Female,Rent,Married,Close,40900,2,Low,18,57.6
Young,Male,Rent,Married,Far,41500,3,None,24,131.4
Young,Male,Rent,Single,Close,20900,0,None,6,29.6
Young,Female,Rent,Married,Close,69700,2,Medium,6,58.4
Middle,Male,Rent,Single,Close,61800,0,High,24,115.6
Middle,Male,Own,Married,Close,102500,1,High,24,246.4
Middle,Female,Own,Married,Close,48900,3,None,18,91.5
